"Notes"	"Vaccine"	"Vaccine Code"	"Year Died"	"Year Died Code"	"Year Reported"	"Year Reported Code"	Events Reported	Percent
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"2012"	"2012"	"2012"	"2012"	1	0.00%
"Total"	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"2012"	"2012"			1	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2012"	"2012"	14	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2013"	"2013"	21	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2014"	"2014"	14	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2015"	"2015"	10	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"2016"	"2016"	19	0.00%
	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"	"Unknown Date"	"9999"	41	0.01%
"Total"	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"	"No Death"	"9998"			119	0.02%
"Total"	"ADENOVIRUS TYPES 4 & 7, LIVE, ORAL (NO BRAND NAME)"	"1155"					120	0.02%
	"ADENOVIRUS (NO BRAND NAME)"	"101"	"No Death"	"9998"	"1992"	"1992"	1	0.00%
	"ADENOVIRUS (NO BRAND NAME)"	"101"	"No Death"	"9998"	"1993"	"1993"	1	0.00%
"Total"	"ADENOVIRUS (NO BRAND NAME)"	"101"	"No Death"	"9998"			2	0.00%
"Total"	"ADENOVIRUS (NO BRAND NAME)"	"101"					2	0.00%
	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"	"No Death"	"9998"	"1993"	"1993"	1	0.00%
	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"	"No Death"	"9998"	"Unknown Date"	"9999"	2	0.00%
"Total"	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"	"No Death"	"9998"			3	0.00%
"Total"	"ADENOVIRUS (TYPE 4, NO BRAND NAME)"	"41"					3	0.00%
	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"	"1993"	"1993"	1	0.00%
	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"	"2000"	"2000"	1	0.00%
	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"	"Unknown Date"	"9999"	3	0.00%
"Total"	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"	"No Death"	"9998"			5	0.00%
"Total"	"ADENOVIRUS (TYPE 7, NO BRAND NAME)"	"40"					5	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2000"	"2000"	"2005"	"2005"	2	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2000"	"2000"			2	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2001"	"2001"	"2001"	"2001"	2	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2001"	"2001"	"2009"	"2009"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2001"	"2001"			3	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2002"	"2002"	"2002"	"2002"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2002"	"2002"	"2005"	"2005"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2002"	"2002"			2	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2003"	"2003"	"2003"	"2003"	4	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2003"	"2003"	"2005"	"2005"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2003"	"2003"	"Unknown Date"	"9999"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2003"	"2003"			6	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2004"	"2004"	"2003"	"2003"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2004"	"2004"	"2004"	"2004"	3	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2004"	"2004"			4	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2006"	"2006"	"2006"	"2006"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2006"	"2006"			1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2007"	"2007"	"2007"	"2007"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2007"	"2007"			1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2011"	"2011"	"2011"	"2011"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2011"	"2011"			1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2013"	"2013"	"2013"	"2013"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2013"	"2013"			1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2016"	"2016"	"2017"	"2017"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2016"	"2016"			1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"2017"	"2017"	"2017"	"2017"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"2017"	"2017"			1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"Unknown Date"	"9999"	"2000"	"2000"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"Unknown Date"	"9999"	"2003"	"2003"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"Unknown Date"	"9999"	"2014"	"2014"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"Unknown Date"	"9999"	"Unknown Date"	"9999"	1	0.00%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"Unknown Date"	"9999"			4	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"1991"	"1991"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"1993"	"1993"	4	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"1998"	"1998"	1	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"1999"	"1999"	27	0.00%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2000"	"2000"	30	0.01%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2001"	"2001"	93	0.02%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2002"	"2002"	237	0.04%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2003"	"2003"	965	0.18%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2004"	"2004"	735	0.14%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2005"	"2005"	263	0.05%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2006"	"2006"	327	0.06%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2007"	"2007"	621	0.11%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2008"	"2008"	399	0.07%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2009"	"2009"	277	0.05%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2010"	"2010"	229	0.04%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2011"	"2011"	231	0.04%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2012"	"2012"	185	0.03%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2013"	"2013"	199	0.04%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2014"	"2014"	197	0.04%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2015"	"2015"	158	0.03%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2016"	"2016"	154	0.03%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"2017"	"2017"	49	0.01%
	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"	"Unknown Date"	"9999"	261	0.05%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"	"No Death"	"9998"			5643	1.04%
"Total"	"ANTHRAX (BIOTHRAX)"	"1008"					5670	1.05%
	"ANTHRAX (NO BRAND NAME)"	"64"	"2000"	"2000"	"2000"	"2000"	3	0.00%
"Total"	"ANTHRAX (NO BRAND NAME)"	"64"	"2000"	"2000"			3	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"2006"	"2006"	"2007"	"2007"	1	0.00%
"Total"	"ANTHRAX (NO BRAND NAME)"	"64"	"2006"	"2006"			1	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"1990"	"1990"	1	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"1993"	"1993"	2	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"1998"	"1998"	66	0.01%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"1999"	"1999"	603	0.11%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2000"	"2000"	852	0.16%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2001"	"2001"	22	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2002"	"2002"	15	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2003"	"2003"	62	0.01%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2004"	"2004"	31	0.01%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2005"	"2005"	24	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2006"	"2006"	18	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2007"	"2007"	172	0.03%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2008"	"2008"	207	0.04%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2009"	"2009"	118	0.02%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2010"	"2010"	131	0.02%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2011"	"2011"	99	0.02%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2012"	"2012"	92	0.02%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2013"	"2013"	91	0.02%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2014"	"2014"	47	0.01%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2015"	"2015"	25	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2016"	"2016"	36	0.01%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"2017"	"2017"	9	0.00%
	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"	"Unknown Date"	"9999"	170	0.03%
"Total"	"ANTHRAX (NO BRAND NAME)"	"64"	"No Death"	"9998"			2893	0.53%
"Total"	"ANTHRAX (NO BRAND NAME)"	"64"					2897	0.54%
	"BCG (MYCOBAX)"	"1045"	"2013"	"2013"	"2013"	"2013"	1	0.00%
"Total"	"BCG (MYCOBAX)"	"1045"	"2013"	"2013"			1	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2002"	"2002"	2	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2003"	"2003"	1	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2004"	"2004"	5	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2005"	"2005"	5	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2006"	"2006"	6	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2007"	"2007"	9	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2008"	"2008"	2	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2011"	"2011"	2	0.00%
	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"	"2016"	"2016"	2	0.00%
"Total"	"BCG (MYCOBAX)"	"1045"	"No Death"	"9998"			34	0.01%
"Total"	"BCG (MYCOBAX)"	"1045"					35	0.01%
	"BCG (NO BRAND NAME)"	"102"	"2014"	"2014"	"2014"	"2014"	1	0.00%
"Total"	"BCG (NO BRAND NAME)"	"102"	"2014"	"2014"			1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"Unknown Date"	"9999"	"2014"	"2014"	1	0.00%
"Total"	"BCG (NO BRAND NAME)"	"102"	"Unknown Date"	"9999"			1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"1999"	"1999"	1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2002"	"2002"	2	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2003"	"2003"	30	0.01%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2004"	"2004"	1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2005"	"2005"	3	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2006"	"2006"	12	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2007"	"2007"	2	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2008"	"2008"	1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2009"	"2009"	1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2010"	"2010"	1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2011"	"2011"	1	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2012"	"2012"	4	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2013"	"2013"	8	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"2015"	"2015"	5	0.00%
	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"	"Unknown Date"	"9999"	6	0.00%
"Total"	"BCG (NO BRAND NAME)"	"102"	"No Death"	"9998"			78	0.01%
"Total"	"BCG (NO BRAND NAME)"	"102"					80	0.01%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"1996"	"1996"	3	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"1998"	"1998"	1	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2001"	"2001"	2	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2003"	"2003"	3	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2004"	"2004"	37	0.01%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2006"	"2006"	11	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2011"	"2011"	1	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2012"	"2012"	1	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2013"	"2013"	4	0.00%
	"BCG (TICE)"	"1"	"No Death"	"9998"	"2016"	"2016"	2	0.00%
"Total"	"BCG (TICE)"	"1"	"No Death"	"9998"			65	0.01%
"Total"	"BCG (TICE)"	"1"					65	0.01%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"1992"	"1992"	1	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"1993"	"1993"	4	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"1994"	"1994"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"1995"	"1995"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"1997"	"1997"	3	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"1999"	"1999"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2000"	"2000"	1	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2002"	"2002"	1	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2004"	"2004"	1	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2005"	"2005"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2006"	"2006"	1	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2008"	"2008"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2009"	"2009"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2010"	"2010"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2011"	"2011"	1	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2014"	"2014"	1	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"2016"	"2016"	2	0.00%
	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"	"Unknown Date"	"9999"	4	0.00%
"Total"	"CHOLERA (NO BRAND NAME)"	"103"	"No Death"	"9998"			34	0.01%
"Total"	"CHOLERA (NO BRAND NAME)"	"103"					34	0.01%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1990"	"1990"	3	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1991"	"1991"	8	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1992"	"1992"	14	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1993"	"1993"	6	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1994"	"1994"	7	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1995"	"1995"	6	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1997"	"1997"	4	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1998"	"1998"	6	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"1999"	"1999"	2	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"2000"	"2000"	3	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"2001"	"2001"	2	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"2002"	"2002"	1	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"2003"	"2003"	1	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"2005"	"2005"	1	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"2006"	"2006"	1	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"2015"	"2015"	1	0.00%
	"CHOLERA (USP)"	"15"	"No Death"	"9998"	"Unknown Date"	"9999"	12	0.00%
"Total"	"CHOLERA (USP)"	"15"	"No Death"	"9998"			78	0.01%
"Total"	"CHOLERA (USP)"	"15"					78	0.01%
	"CHOLERA (VAXCHORA)"	"1174"	"No Death"	"9998"	"2017"	"2017"	2	0.00%
"Total"	"CHOLERA (VAXCHORA)"	"1174"	"No Death"	"9998"			2	0.00%
"Total"	"CHOLERA (VAXCHORA)"	"1174"					2	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"1997"	"1997"	"1997"	"1997"	2	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"1997"	"1997"			2	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"1998"	"1998"	"1998"	"1998"	6	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"1998"	"1998"	"1999"	"1999"	2	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"1998"	"1998"	"Unknown Date"	"9999"	1	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"1998"	"1998"			9	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"1999"	"1999"	"1999"	"1999"	20	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"1999"	"1999"	"2000"	"2000"	2	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"1999"	"1999"			22	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2000"	"2000"	"2000"	"2000"	28	0.01%
	"HIB + HEP B (COMVAX)"	"287"	"2000"	"2000"	"2001"	"2001"	1	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2000"	"2000"	"Unknown Date"	"9999"	2	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2000"	"2000"			31	0.01%
	"HIB + HEP B (COMVAX)"	"287"	"2001"	"2001"	"2001"	"2001"	25	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2001"	"2001"	"2002"	"2002"	3	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2001"	"2001"	"Unknown Date"	"9999"	1	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2001"	"2001"			29	0.01%
	"HIB + HEP B (COMVAX)"	"287"	"2002"	"2002"	"2002"	"2002"	23	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2002"	"2002"	"2003"	"2003"	1	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2002"	"2002"	"Unknown Date"	"9999"	2	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2002"	"2002"			26	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2003"	"2003"	"2003"	"2003"	20	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2003"	"2003"	"Unknown Date"	"9999"	1	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2003"	"2003"			21	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2004"	"2004"	"2004"	"2004"	16	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2004"	"2004"	"2005"	"2005"	3	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2004"	"2004"	"2009"	"2009"	1	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2004"	"2004"	"Unknown Date"	"9999"	1	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2004"	"2004"			21	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2005"	"2005"	"2005"	"2005"	10	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2005"	"2005"	"2006"	"2006"	2	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2005"	"2005"			12	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2006"	"2006"	"2006"	"2006"	7	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2006"	"2006"			7	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"2007"	"2007"	"2007"	"2007"	8	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"2007"	"2007"			8	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"Unknown Date"	"9999"	"2000"	"2000"	2	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"Unknown Date"	"9999"	"2001"	"2001"	1	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"Unknown Date"	"9999"	"2002"	"2002"	1	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"Unknown Date"	"9999"	"2004"	"2004"	1	0.00%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"Unknown Date"	"9999"			5	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"1997"	"1997"	30	0.01%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"1998"	"1998"	114	0.02%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"1999"	"1999"	286	0.05%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2000"	"2000"	557	0.10%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2001"	"2001"	809	0.15%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2002"	"2002"	744	0.14%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2003"	"2003"	633	0.12%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2004"	"2004"	433	0.08%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2005"	"2005"	329	0.06%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2006"	"2006"	321	0.06%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2007"	"2007"	346	0.06%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2008"	"2008"	162	0.03%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2009"	"2009"	27	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2010"	"2010"	14	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2011"	"2011"	8	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2012"	"2012"	14	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2013"	"2013"	27	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2014"	"2014"	34	0.01%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2015"	"2015"	53	0.01%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2016"	"2016"	29	0.01%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"2017"	"2017"	5	0.00%
	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"	"Unknown Date"	"9999"	229	0.04%
"Total"	"HIB + HEP B (COMVAX)"	"287"	"No Death"	"9998"			5204	0.96%
"Total"	"HIB + HEP B (COMVAX)"	"287"					5397	1.00%
	"HIB + HEP B (NO BRAND NAME)"	"288"	"No Death"	"9998"	"2000"	"2000"	4	0.00%
	"HIB + HEP B (NO BRAND NAME)"	"288"	"No Death"	"9998"	"2001"	"2001"	5	0.00%
	"HIB + HEP B (NO BRAND NAME)"	"288"	"No Death"	"9998"	"2002"	"2002"	1	0.00%
	"HIB + HEP B (NO BRAND NAME)"	"288"	"No Death"	"9998"	"Unknown Date"	"9999"	3	0.00%
"Total"	"HIB + HEP B (NO BRAND NAME)"	"288"	"No Death"	"9998"			13	0.00%
"Total"	"HIB + HEP B (NO BRAND NAME)"	"288"					13	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2003"	"2003"	3	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2005"	"2005"	1	0.00%
	"DTAP+IPV+HEPB+HIB (HEXAVAC)"	"1047"	"No Death"	"9998"	"2006"	"2006"	3	0.00%
